Year,Country_Name,Nbr_Cars,Nbr_Commercial_Vehicle,Total,Percent_Change,Continent,Lower CI,Upper CI
2006-01-01,Netherlands,87332.0,72122.0,159454.0,-11.8%,Europe,,
2006-01-01,Poland,632300.0,82300.0,714600.0,14.2%,Europe,,
2006-01-01,Portugal,143478.0,83847.0,227325.0,3.7%,Europe,,
2006-01-01,Romania,201663.0,11934.0,213597.0,9.6%,Europe,,
2006-01-01,Russia,1177918.0,330440.0,1508358.0,11.6%,Europe,,
2006-01-01,Serbia,9832.0,1350.0,11182.0,-21.1%,Europe,,
2006-01-01,Slovakia,295391.0,0.0,295391.0,35.3%,Europe,,
2006-01-01,Slovenia,115000.0,35320.0,150320.0,-15.5%,Europe,,
2006-01-01,South africa,334482.0,253237.0,587719.0,11.9%,Africa,,
2006-01-01,South korea,3489136.0,350966.0,3840102.0,3.8%,Asia,,
2006-01-01,Spain,2078639.0,698796.0,2777435.0,0.9%,Europe,,
2006-01-01,Sweden,288583.0,44585.0,333168.0,-1.6%,Europe,,
2006-01-01,Taiwan,211306.0,91915.0,303221.0,-32.1%,Asia,,
2006-01-01,Thailand,298819.0,895607.0,1194426.0,6.1%,Asia,,
2006-01-01,Turkey,545682.0,442098.0,987780.0,12.4%,Asia,,
2006-01-01,Ukraine,274860.0,20400.0,295260.0,36.8%,Europe,,
2006-01-01,United kingdom,1442085.0,206303.0,1648388.0,-8.6%,Europe,,
2006-01-01,Usa,4366220.0,6897766.0,11263986.0,-6.0%,North America,,
2006-01-01,Uzbekistan,100000.0,10000.0,110000.0,14.8%,Asia,,
2006-01-01,Others,376110.0,155496.0,531606.0,2.3%,Other,,
2007-01-01,Argentina,350735.0,193912.0,544647.0,26.0%,South America,,
2007-01-01,Australia,283348.0,51269.0,334617.0,0.9%,Oceania,,
2007-01-01,Austria,199969.0,28097.0,228066.0,-17.0%,Europe,,
2007-01-01,Belgium,789674.0,44729.0,834403.0,-9.1%,Europe,,
2007-01-01,Brazil,2391354.0,585796.0,2977150.0,14.8%,South America,,
2007-01-01,Canada,1342133.0,1236657.0,2578790.0,0.3%,North America,,
2007-01-01,China,6381116.0,2501340.0,8882456.0,22.0%,Asia,,
2007-01-01,Czechia,925060.0,13588.0,938648.0,9.8%,Europe,,
2007-01-01,Egypt,68934.0,35539.0,104473.0,14.2%,Africa,,
2007-01-01,Finland,24000.0,303.0,24303.0,-25.8%,Europe,,
2007-01-01,France,2550869.0,464985.0,3015854.0,-4.8%,Europe,,
2007-01-01,Germany,5709139.0,504321.0,6213460.0,6.8%,Europe,,
2007-01-01,Hungary,287982.0,4045.0,292027.0,53.5%,Europe,,
2007-01-01,India,1713479.0,540250.0,2253729.0,11.6%,Asia,,
2007-01-01,Indonesia,309208.0,102430.0,411638.0,38.6%,Asia,,
2007-01-01,Iran,882000.0,115240.0,997240.0,10.3%,Asia,,
2007-01-01,Italy,910860.0,373452.0,1284312.0,6.0%,Europe,,
2007-01-01,Japan,9944637.0,1651690.0,11596327.0,1.0%,Asia,,
2007-01-01,Malaysia,347971.0,93690.0,441661.0,-12.2%,Asia,,
2007-01-01,Mexico,1209097.0,886148.0,2095245.0,2.4%,North America,,
2007-01-01,Netherlands,61912.0,76656.0,138568.0,-13.1%,Europe,,
2007-01-01,Poland,695000.0,97703.0,792703.0,10.9%,Europe,,
2007-01-01,Portugal,134047.0,42195.0,176242.0,-22.5%,Europe,,
2007-01-01,Romania,234103.0,7609.0,241712.0,13.2%,Europe,,
2007-01-01,Russia,1288652.0,371468.0,1660120.0,10.4%,Europe,,
2007-01-01,Serbia,8236.0,1667.0,9903.0,-11.4%,Europe,,
2007-01-01,Slovakia,571071.0,0.0,571071.0,93.3%,Europe,,
2007-01-01,Slovenia,174209.0,24193.0,198402.0,29.6%,Europe,,
2007-01-01,South africa,276018.0,258472.0,534490.0,-9.1%,Africa,,
2007-01-01,South korea,3723482.0,362826.0,4086308.0,6.4%,Asia,,
2007-01-01,Spain,2195780.0,693923.0,2889703.0,4.0%,Europe,,
2007-01-01,Sweden,316850.0,49170.0,366020.0,9.9%,Europe,,
2007-01-01,Taiwan,212685.0,70354.0,283039.0,-6.7%,Asia,,
2007-01-01,Thailand,315444.0,971902.0,1287346.0,7.8%,Asia,,
2007-01-01,Turkey,634883.0,464530.0,1099413.0,11.3%,Asia,,
2007-01-01,Ukraine,380061.0,22530.0,402591.0,39.7%,Europe,,
2007-01-01,United kingdom,1534567.0,215686.0,1750253.0,6.1%,Europe,,
2007-01-01,Usa,3924268.0,6856461.0,10780729.0,-4.5%,North America,,
2007-01-01,Uzbekistan,170000.0,14900.0,184900.0,68.1%,Asia,,
2007-01-01,Others,420770.0,282019.0,702789.0,32.2%,Other,,
2008-01-01,Argentina,399236.0,197509.0,596745.0,9.6%,South America,,
2008-01-01,Australia,285590.0,43966.0,329556.0,-1.5%,Oceania,,
2008-01-01,Austria,125836.0,25441.0,151277.0,-33.7%,Europe,,
2008-01-01,Belgium,680131.0,44367.0,724498.0,-13.2%,Europe,,
2008-01-01,Brazil,2545729.0,670247.0,3215976.0,8.0%,South America,,
2008-01-01,Canada,1195436.0,886805.0,2082241.0,-19.3%,North America,,
2008-01-01,China,6737745.0,2561435.0,9299180.0,4.7%,Asia,,
2008-01-01,Czechia,934046.0,12521.0,946567.0,1.0%,Europe,,
2008-01-01,Egypt,77563.0,42297.0,119860.0,14.7%,Africa,,
2008-01-01,Finland,17519.0,376.0,17895.0,-26.4%,Europe,,
2008-01-01,France,2145935.0,423043.0,2568978.0,-14.8%,Europe,,
2008-01-01,Germany,5532030.0,513700.0,6045730.0,-2.7%,Europe,,
2008-01-01,Hungary,342359.0,3696.0,346055.0,18.5%,Europe,,
2008-01-01,India,1846051.0,486277.0,2332328.0,3.5%,Asia,,
2008-01-01,Indonesia,431423.0,169205.0,600628.0,45.9%,Asia,,
2008-01-01,Iran,1048307.0,225474.0,1273781.0,27.7%,Asia,,
2008-01-01,Italy,659221.0,364553.0,1023774.0,-20.3%,Europe,,
2008-01-01,Japan,9928143.0,1647501.0,11575644.0,-0.2%,Asia,,
2008-01-01,Malaysia,484512.0,46298.0,530810.0,20.2%,Asia,,
2008-01-01,Mexico,1217458.0,950486.0,2167944.0,3.5%,North America,,
2008-01-01,Netherlands,59223.0,73271.0,132494.0,-4.4%,Europe,,
2008-01-01,Poland,842000.0,110840.0,952840.0,20.2%,Europe,,
2008-01-01,Portugal,132242.0,42913.0,175155.0,-0.6%,Europe,,
2008-01-01,Romania,231056.0,14252.0,245308.0,1.5%,Europe,,
2008-01-01,Russia,1469429.0,320872.0,1790301.0,7.8%,Europe,,
2008-01-01,Serbia,9818.0,1810.0,11628.0,17.4%,Europe,,
2008-01-01,Slovakia,575776.0,0.0,575776.0,0.8%,Europe,,
2008-01-01,Slovenia,180233.0,17610.0,197843.0,-0.3%,Europe,,
2008-01-01,South africa,321124.0,241841.0,562965.0,5.3%,Africa,,
2008-01-01,South korea,3450478.0,376204.0,3826682.0,-6.8%,Asia,,
2008-01-01,Spain,1943049.0,598595.0,2541644.0,-12.0%,Europe,,
2008-01-01,Sweden,252287.0,56012.0,308299.0,-15.8%,Europe,,
2008-01-01,Taiwan,138714.0,44260.0,182974.0,-35.4%,Asia,,
2008-01-01,Thailand,401309.0,992433.0,1393742.0,8.3%,Asia,,
2008-01-01,Turkey,621567.0,525543.0,1147110.0,4.3%,Asia,,
2008-01-01,Ukraine,400799.0,22328.0,423127.0,5.1%,Europe,,
